task_id,model_name,mode,run_number,overall_status,syntax_valid,code_extracted,tests_run,tests_failed,reviewer_approved,debug_iterations,duration_seconds,difficulty,repo,language,gold_patch_size,gold_hunks,gold_files_changed,patch_score,file_recall,content_overlap
django__django-11179,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,1917.17,easy,django/django,unknown,1,1,1,0.6,1.0,0.0
django__django-13230,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,2165.64,easy,django/django,unknown,1,1,1,0.0,0.0,0.0
sphinx-doc__sphinx-8595,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,771.69,easy,sphinx-doc/sphinx,unknown,2,1,1,0.6364,1.0,0.0909
sphinx-doc__sphinx-8721,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,1047.14,easy,sphinx-doc/sphinx,unknown,4,1,1,0.05,0.0,0.125
sympy__sympy-21627,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,1873.15,easy,sympy/sympy,unknown,2,1,1,0.6857,1.0,0.2143
astropy__astropy-6938,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,5255.01,medium,astropy/astropy,unknown,2,1,1,0.7714,1.0,0.4286
astropy__astropy-12907,qwen3.6,mas,1,COMPLETED,True,True,4,0,True,1,4206.62,medium,astropy/astropy,unknown,2,1,1,0.6286,1.0,0.0714
django__django-11179,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,1489.02,easy,django/django,unknown,1,1,1,0.6,1.0,0.0
django__django-13230,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,1443.2,easy,django/django,unknown,1,1,1,0.0,0.0,0.0
sphinx-doc__sphinx-8595,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,741.55,easy,sphinx-doc/sphinx,unknown,2,1,1,0.8,1.0,0.5
sphinx-doc__sphinx-8721,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,665.65,easy,sphinx-doc/sphinx,unknown,4,1,1,0.7,1.0,0.25
sympy__sympy-21627,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,682.75,easy,sympy/sympy,unknown,2,1,1,0.6444,1.0,0.1111
astropy__astropy-6938,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,444.39,medium,astropy/astropy,unknown,2,1,1,0.7333,1.0,0.3333
astropy__astropy-12907,qwen3.6,single,1,COMPLETED,True,True,4,0,False,1,2913.46,medium,astropy/astropy,unknown,2,1,1,0.6182,1.0,0.0455
django__django-11179,qwen3-coder,mas,1,COMPLETED,True,True,4,0,False,1,105.9,easy,django/django,unknown,1,1,1,0.6,1.0,0.0
django__django-13230,qwen3-coder,mas,1,FAILED,True,True,4,1,True,1,1845.95,easy,django/django,unknown,1,1,1,0.0,0.0,0.0
sphinx-doc__sphinx-8595,qwen3-coder,mas,1,COMPLETED,True,True,4,0,False,1,37.01,easy,sphinx-doc/sphinx,unknown,2,1,1,0.664,1.0,0.16
sphinx-doc__sphinx-8721,qwen3-coder,mas,1,COMPLETED,True,True,4,0,False,1,42.51,easy,sphinx-doc/sphinx,unknown,4,1,1,0.7,1.0,0.25
sympy__sympy-21627,qwen3-coder,mas,1,COMPLETED,True,True,4,0,False,1,30.7,easy,sympy/sympy,unknown,2,1,1,0.7143,1.0,0.2857
astropy__astropy-6938,qwen3-coder,mas,1,COMPLETED,True,True,4,0,True,1,31.7,medium,astropy/astropy,unknown,2,1,1,0.7714,1.0,0.4286
astropy__astropy-12907,qwen3-coder,mas,1,COMPLETED,True,True,4,0,False,1,60.82,medium,astropy/astropy,unknown,2,1,1,0.6048,1.0,0.0119
django__django-11179,qwen3-coder,single,1,COMPLETED,True,True,4,0,False,1,25.39,easy,django/django,unknown,1,1,1,0.6,1.0,0.0
django__django-13230,qwen3-coder,single,1,COMPLETED,True,True,4,0,False,1,51.7,easy,django/django,unknown,1,1,1,0.6,1.0,0.0
sphinx-doc__sphinx-8595,qwen3-coder,single,1,COMPLETED,True,True,4,0,False,1,33.17,easy,sphinx-doc/sphinx,unknown,2,1,1,0.64,1.0,0.1
sphinx-doc__sphinx-8721,qwen3-coder,single,1,COMPLETED,True,True,4,0,False,1,86.68,easy,sphinx-doc/sphinx,unknown,4,1,1,0.64,1.0,0.1
sympy__sympy-21627,qwen3-coder,single,1,FAILED,True,True,4,1,False,1,11.93,easy,sympy/sympy,unknown,2,1,1,1.0,1.0,1.0
astropy__astropy-6938,qwen3-coder,single,1,COMPLETED,True,True,4,0,False,1,15.86,medium,astropy/astropy,unknown,2,1,1,0.7714,1.0,0.4286
astropy__astropy-12907,qwen3-coder,single,1,COMPLETED,True,True,4,0,False,1,637.89,medium,astropy/astropy,unknown,2,1,1,0.6138,1.0,0.0345
